,details,Etat,Marque,Prix,Adresse,Image_link
49,"<h1 class=""listing-item__header"">
    hp 840 G2
</h1>",D'occasion,HP,80 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ab7875bbc068ca0f1742e3b9153a3cb/-/horizon-files-prod/ed/picture/qxjpve4n/077ca710162d8f93d3b6966ce1ea0709450467ab.jpg
50,"<h1 class=""listing-item__header"">
    HP 840 G4
</h1>",D'occasion,HP,120 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef2166bd40a8a854170eddfa78640482/-/horizon-files-prod/ed/picture/qrz8e4d4/567502fe7eee1b5da0e36311b6f786666d26ba5a.jpg
51,"<h1 class=""listing-item__header"">
    Asus
</h1>",Venant,ASUS,140 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cf6710db0472bbec3eae5767825e9a6/-/horizon-files-prod/ed/picture/q44nvqem/49c92d2d5936f8070529258939d97fb016065ad1.jpg
52,"<h1 class=""listing-item__header"">
    Dell 5410
</h1>",D'occasion,Dell,160 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/10b5e0d2862dd3356308ea48fc85ff5c/-/horizon-files-prod/ed/picture/q8v4wxqn/0afe8c03e5b9c8b92a06cc6c6f4c0f060c1ce34e.jpg
53,"<h1 class=""listing-item__header"">
    Hp 745 G5
</h1>",D'occasion,HP,150 000 ,Mbao,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4cb812ddb0bd329bcbf3f26e92e9a0fe/-/horizon-files-prod/ed/picture/qwep75qk/4edc1e3c245468180b7046aa7e40fd9b4a68b566.jpg
54,"<h1 class=""listing-item__header"">
    Asus Rog Strix G16 de 13 éme Génération Rtx 4060
</h1>",Neuf,ASUS,900 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4ceceedfb7e689f45357761191addab/-/horizon-files-prod/ed/picture/qde7pjx5/7b67d4c49250edd5baba42cef9af9623bfdf3e43.png
55,"<h1 class=""listing-item__header"">
    Mac Book Air Puce M3
</h1>",Neuf,Apple,650 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/239c68693a6cf4b514980ad96c942853/-/horizon-files-prod/ed/picture/q6xdjdrv/71769d500162d0c2d5b75f2a746c5a8992591174.jpg
56,"<h1 class=""listing-item__header"">
    Mac Book M4 Pro de 16 Pouces ssd 512 Gb Ram 24 Gb
</h1>",Neuf,Apple,1 380 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0e869bdca16328e0bb833e54fe434108/-/horizon-files-prod/ed/picture/qv4wjvwp/4b408fead240442e5363080a717f81388a972fcc.jpg
57,"<h1 class=""listing-item__header"">
    Dell Precision 5680 de 13 eme Génération Rtx Nvidia
</h1>",Neuf,Dell,775 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7baac5cc8e3557ef17735429a51066a/-/horizon-files-prod/ed/picture/qde7q8z4/0b9311397e46699f50528d19256fbd6821056723.jpg
58,"<h1 class=""listing-item__header"">
    Mac Book Air Puce M2
</h1>",Neuf,Apple,550 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f34e3aa154859c9f5a1fe652669b0f7f/-/horizon-files-prod/ed/picture/qq42rkkz/2b48e383630c211f6fb6a27cd7261e792e0e1d18.jpg
59,"<h1 class=""listing-item__header"">
    Mac Book Puce  M3 Pro ssd 512 Gb Ram 18 Gb
</h1>",Neuf,Apple,875 000 ,Cambérène,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36be7df8a6bbf593c8b1b120d457c129/-/horizon-files-prod/ed/picture/q2j06npe/db45b80a7ff9a9482c209b44602f5418f5c6fc92.jpg
60,"<h1 class=""listing-item__header"">
    Lenovo Thinkpad X1 yoga G4 ultra book
</h1>",Neuf,Lenovo,310 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/507d9a2f2a803b9c035cfdf15e1fa4aa/-/horizon-files-prod/ed/picture/q44nvqxm/7bb4d685ea82d8ee8d19a8811fcf60d767b76e7d.jpg
61,"<h1 class=""listing-item__header"">
    Lenovo ThinkPad X1 Yoga G4
</h1>",Venant,Lenovo,290 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/878c5f388cd1651c3286c13e055736da/-/horizon-files-prod/ed/picture/qngpen40/3b3fa08e01259351886515217543f9b89d3ce77e.jpg
62,"<h1 class=""listing-item__header"">
    Dell XPS 15 9500 10th
</h1>",Neuf,Dell,450 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f588cffa7083405b94ddeb13bd2f0197/-/horizon-files-prod/ed/picture/q8v4wxm6/2de6c88fb1e4c65b821aeeccb8f5f95b0ce93300.jpg
63,"<h1 class=""listing-item__header"">
    MacBook Air M2, 2022, 13 pouces
</h1>",Neuf,Apple,525 000 ,Gueule-Tapée,https://i.roamcdn.net/hz/ed/listing-thumb-543w/956bb33463145b93991341328c435545/-/horizon-files-prod/ed/picture/qq42rdve/ec7f620ad4496328c5a88539f0fa84b6e146dc96.jpg
64,"<h1 class=""listing-item__header"">
    Lenovo L440 i5 4th ram 8 disque 500 go hdd
</h1>",Venant,Lenovo,100 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/891bee90b2d543e507cfa26e84d31836/-/horizon-files-prod/ed/picture/q6ekr0v/a15e2976968745fbffa6557010834ec192395704.jpg
65,"<h1 class=""listing-item__header"">
    Microsoft Surface Laptop 7 Copilot+ / X Elite /16GB / 1TB
</h1>",Neuf,Microsoft Surface,750 000 ,Point-e,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c370eb971aa5d0108b634c0b4de8ada0/-/horizon-files-prod/ed/picture/q9mjvjw6/143c928bfcdf5f7f2456e53e88532d8ea905bb08.jpg
66,"<h1 class=""listing-item__header"">
    Dell Inspiron 3530 - I7 13th | 16GB RAM  | 1 Téra - Tactile
</h1>",Venant,Dell,550 000 ,Point-e,https://i.roamcdn.net/hz/ed/listing-thumb-543w/32b0db3758e0e43ba6e1b65158b9b1de/-/horizon-files-prod/ed/picture/qq42e4mv/d02abc1c376c49f32bd5527dc3c9f2e03f4f2371.jpg
67,"<h1 class=""listing-item__header"">
    Microsoft Surface Laptop Studio 2 Core i7 / 32GB / 1TB
</h1>",Neuf,Microsoft Surface,950 000 ,Point-e,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f5909e3d1dedee9fbe2ec8d1e0927366/-/horizon-files-prod/ed/picture/q0g7475z/f61c922ad4dc1f2bfb9bde2fa45fbcd596f2ec32.jpg
68,"<h1 class=""listing-item__header"">
    Surface Pro 7 - I7 | 16GB RAM | 256
</h1>",Venant,Microsoft Surface,325 000 ,Point-e,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8283d11c261070b3f4e8bcf99b649f0/-/horizon-files-prod/ed/picture/qenv92vz/884395bd001513287e9075a262a0f9b1b57ed724.jpg
69,"<h1 class=""listing-item__header"">
    HP 830 g6 i5
</h1>",Venant,HP,185 000 ,Parcelles Assainies,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17c5160e1f188dcf0222ec04c26a21be/-/horizon-files-prod/ed/picture/qwep75g6/0dd8494c8d582c14af3884700ec86f37c9d03715.png
70,"<h1 class=""listing-item__header"">
    MacBook Air core i5
</h1>",Venant,Apple,145 000 ,Grand-Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7c921a04b741d556a63a41a90a69750/-/horizon-files-prod/ed/picture/qde7pj20/3366c7f33c5620efed70c045f35ac1e226aaadbe.jpg
71,"<h1 class=""listing-item__header"">
    Hp probook x360 11 g7
</h1>",Neuf,HP,115 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81a6a178ad01a0bbfde67197988f721e/-/horizon-files-prod/ed/picture/q78wzr98/4e9170159d5e48006f9706fd533ad9af76d24f23.jpg
72,"<h1 class=""listing-item__header"">
    MSI Pulse 16 AI (2024)
</h1>",Neuf,MSI,950 000 ,Sicap Sacré-cœur,https://i.roamcdn.net/hz/ed/listing-thumb-543w/890f54b8fa7adffe2f02e17ebb6be202/-/horizon-files-prod/ed/picture/qrz8kqn9/4ffe3d1cc47234060a30dfba6aea7b0d21321706.jpg
73,"<h1 class=""listing-item__header"">
    Surface Laptop Studio 2
</h1>",Neuf,Microsoft Surface,750 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3df2c185009917b686600e03d2cf39bf/-/horizon-files-prod/ed/picture/qv4w6595/ecd80df1024e4bfa081936fdf5f3f233a30deb96.jpg
74,"<h1 class=""listing-item__header"">
    Surface Laptop 7
</h1>",Neuf,Microsoft Surface,700 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e143ed06b82b0e9a50f533150e372ff/-/horizon-files-prod/ed/picture/qngpqwqe/1324b1e3638fccdfc57f3931f9c4c381f3cc4f95.jpg
75,"<h1 class=""listing-item__header"">
    MacBook Air m2 8/256
</h1>",Neuf,Apple,670 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c5d1d00fcc03478652dfd944b91d0df/-/horizon-files-prod/ed/picture/q56dkn8n/a6e0242defb8e4495df8477c4c5fa7421b740b5f.jpg
76,"<h1 class=""listing-item__header"">
    MacBook Pro M3-PRO
</h1>",Neuf,Apple,1 350 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/916019e4c6805a703e1e1a61b5f478b5/-/horizon-files-prod/ed/picture/q2j06rwj/51bf501949a6bff7cd304f3742cbefef52756fc6.jpg
77,"<h1 class=""listing-item__header"">
    MacBook 16pouce 2019 i7
</h1>",Venant,Apple,485 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e957693d0cbe72cafe6f6dc784a5026/-/horizon-files-prod/ed/picture/qq42e6pz/de17a1110bc31198fd12f36eca6956e9e30450f3.jpg
78,"<h1 class=""listing-item__header"">
    Ordinateur pour caisse
</h1>",Neuf,Autre,390 000 ,Hlm,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e8f1177fe571455cab099767edc2c61/-/horizon-files-prod/ed/picture/qrz86n68/47fe5d51413e694d581fde2cea6f6f532a7129df.jpg
79,"<h1 class=""listing-item__header"">
    HP élitebook 645 g9
</h1>",Neuf,HP,270 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bedc1d59e8159dea8e2d5ff6de336e08/-/horizon-files-prod/ed/picture/q78wmrgm/ba4aaf345414735adcabe9c8b576da70e0424311.jpg
