,details,Etat,Marque,Prix,Adresse,Image_link
54,"<h1 class=""listing-item__header"">
    TÉLÉVISEURS SAMSUNG 43 SMART TV
</h1>",Neuf,Samsung,190 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb5887e0183abdbdf2629ea5dea2a7cf/-/horizon-files-prod/ed/picture/qzvp0749/d4e33e8c1182c59a62b4afe02a0d3aa1bd2e1ba7.jpg
55,"<h1 class=""listing-item__header"">
    TV Astech Android
</h1>",Neuf,Astech,80 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9b4899ed27aac08a117e5658d67a433/-/horizon-files-prod/ed/picture/qngp05e9/b441ce9ffb95d0e060eca42e8c06d754318e7675.jpg
56,"<h1 class=""listing-item__header"">
    TV Astech Android
</h1>",Neuf,Astech,125 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1298438a72c927a40a55a79786cbfa8/-/horizon-files-prod/ed/picture/qgqw4552/4ad1e3b68ecafcedfadbe274064b21fe79f2bf92.jpg
57,"<h1 class=""listing-item__header"">
    Vidéo projecteur 4k
</h1>",Neuf,Autre,50 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/516745729600586a7037fd7f724d21db/-/horizon-files-prod/ed/picture/qgqw6n74/a5f4b569f58a21f3d94032ea69824e9701d7d585.jpg
58,"<h1 class=""listing-item__header"">
    smart hisense 43"" full options
</h1>",Neuf,Hisense,175 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81fe06882ae27716e467139a25485980/-/horizon-files-prod/ed/picture/q9mjjxp5/4c574da6829e1d65498eb4980a456b59b90dc560.jpg
59,"<h1 class=""listing-item__header"">
    SAMSUNG QLED 85"" UHD 4K
</h1>",Neuf,Samsung,1 700 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a0d130e8f4e0b9adbf580ba791d30c0/-/horizon-files-prod/ed/picture/q56d5dg6/446d091cee048cf1f2a3368216ad53b949abd052.jpg
60,"<h1 class=""listing-item__header"">
    TELEVISEUR AMAZ 42"" LED SMART ANDROID AM42FT1002S
</h1>",Neuf,Autre,98 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e20ac98816f2c5cb682d9245dadd979c/-/horizon-files-prod/ed/picture/q6xdjp87/f1e8ae90aa4e155250d688456562dc296df2923c.jpg
61,"<h1 class=""listing-item__header"">
    TELEVISEUR IBSON 42"" SMART ANDROID IB42FT1002S
</h1>",Neuf,Autre,98 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/edf06e7c9e9dbfc8025aae7102e74c73/-/horizon-files-prod/ed/picture/q78w6248/61003322b162da4988fb0340910b94043fd3c616.jpg
62,"<h1 class=""listing-item__header"">
    Tv west 40 pouce smart tv
</h1>",Neuf,Autre,110 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff4f18fefeaa74a255eecc8d61c1c370/-/horizon-files-prod/ed/picture/qv4wj8jv/1d3cb2646c4082c96f41ee48e3c7f9423867557c.jpg
63,"<h1 class=""listing-item__header"">
    Google TV 65"" marque SHARP
</h1>",Neuf,Sharp,399 900 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/159b957c9a3c9f3010e3dc390af12a1f/-/horizon-files-prod/ed/picture/qwep646g/6170f631b7ed3e6b45f9470e49abdc70d248ed8d.png
64,"<h1 class=""listing-item__header"">
    Google TV 55"" marque SHARP
</h1>",Neuf,Sharp,275 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad8fc7e21e8fb0ae755745a47baab2e5/-/horizon-files-prod/ed/picture/q78w6268/4612bda5bf5ecfa6fa0aa372854bc1f14eda3823.png
65,"<h1 class=""listing-item__header"">
    Téléviseur Ibson 42 Led
</h1>",Neuf,Autre,80 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aeefd6f9f22cd3473aaa537513316cf0/-/horizon-files-prod/ed/picture/qpdmr5nj/12459e8971c2e11eb58308227c60621ca8b89d6e.jpg
66,"<h1 class=""listing-item__header"">
    Téléviseur Torl 43 Pouces
</h1>",Neuf,Torl,110 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/536170c495716e6b9f41fdced36646d7/-/horizon-files-prod/ed/picture/q44d88d2/7fb95207d76141ec0b5088c0ab740cbde48497ee.jpg
67,"<h1 class=""listing-item__header"">
    TELEVISEUR IBSON 42"" LED IB42FT1002
</h1>",Neuf,Autre,89 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fcd7b58e14c6a5afb1ad767a052fe186/-/horizon-files-prod/ed/picture/qzvp0mqg/71d10426aae409cfee921195d374bfb85e615e49.jpg
68,"<h1 class=""listing-item__header"">
    TELEVISEUR AMAZ 42"" LED AMFT1002
</h1>",Neuf,Autre,89 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/baa806441a0da89baa01588acbfd3b77/-/horizon-files-prod/ed/picture/qm5gwpz2/029922032d175c18740423ee1097f2e914bfa7e0.jpg
69,"<h1 class=""listing-item__header"">
    Téléviseur Hisense 65 Pouces Smart TV
</h1>",Neuf,Hisense,340 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd60ab3d5f413268c58bccb2fc1eeb0f/-/horizon-files-prod/ed/picture/q0g756dd/789aab718414bf19dcadb16f6f13d22c56267b0a.jpg
70,"<h1 class=""listing-item__header"">
    Téléviseur Samsung 43 Pouces Smart Tv
</h1>",Neuf,Samsung,205 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64e45866885d6b82cb13444d07690b56/-/horizon-files-prod/ed/picture/qgqwkzxn/6e0494cd682c59cd47edc82aec361e55f1f27e35.jpg
71,"<h1 class=""listing-item__header"">
    Téléviseur Samsung 50 Pouces
</h1>",Neuf,Samsung,280 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17244c904b721553e4d25fc4666230f0/-/horizon-files-prod/ed/picture/qpdm52zp/da59127b53b87faae4dabbb6a6d43409fbaa6a60.jpg
72,"<h1 class=""listing-item__header"">
    Téléviseur Deska 55 Pouces Smart Tv
</h1>",Neuf,Autre,190 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1453adeb3a6bebf70ba65f5069d86023/-/horizon-files-prod/ed/picture/qrz8k27g/44bb93bb423ba4684418c5a3994fbfff684618fd.jpg
73,"<h1 class=""listing-item__header"">
    Téléviseur LG Smart Tv 43 pouces
</h1>",Neuf,LG,190 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f7c11719c3baaafbb14aed305ade1f5/-/horizon-files-prod/ed/picture/q9m0d647/63086384e8d2e9c1f52ce99a087e6feb5123b31d.jpg
74,"<h1 class=""listing-item__header"">
    TÉLÉVISEURS HISENSE 32 pouce SMART TV
</h1>",Neuf,Hisense,80 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc4f59ac51d70a5fe56960383787feb3/-/horizon-files-prod/ed/picture/qngpq6wv/f0f64969e28e34c52e3db9c45d759ba0a9cd4bca.jpg
75,"<h1 class=""listing-item__header"">
    Téléviseur West 43 Pouces Android
</h1>",Neuf,Autre,105 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6af411e6906d16ba621607fd0b3bfada/-/horizon-files-prod/ed/picture/qwe2d724/e11db09e5b7e5a364f3ce981b5936bb864d14d62.jpg
